,Year,State,County,Deaths,Population,Mortality Rate
84,2014,OR,Josephine County,12.0,83377.0,0.00014392458351823644
85,2014,OR,Lane County,71.0,358027.0,0.0001983090660760222
86,2014,OR,Lincoln County,12.0,46343.0,0.00025893878255615736
87,2014,OR,Linn County,23.0,119042.0,0.000193209119470439
88,2014,OR,Marion County,11.0,324433.0,3.390530556386064e-05
89,2014,OR,Multnomah County,139.0,778430.0,0.00017856454658736175
90,2014,OR,Washington County,45.0,562316.0,8.002617745182424e-05
91,2015,OR,Clackamas County,26.0,399647.0,6.505741316711998e-05
92,2015,OR,Douglas County,11.0,107164.0,0.00010264641110820797
93,2015,OR,Jackson County,32.0,211403.0,0.00015136965889793428
94,2015,OR,Josephine County,11.0,84528.0,0.00013013439333711907
95,2015,OR,Klamath County,10.0,65670.0,0.00015227653418608191
96,2015,OR,Lane County,64.0,361946.0,0.00017682195686649388
97,2015,OR,Linn County,10.0,120236.0,8.316976612661765e-05
98,2015,OR,Marion County,26.0,329060.0,7.90129459673008e-05
99,2015,OR,Multnomah County,147.0,790008.0,0.00018607406507275875
100,2015,OR,Washington County,41.0,572664.0,7.159521115348616e-05
101,2015,OR,Yamhill County,10.0,101381.0,9.86378118187826e-05
