,Year,State,County,Deaths,Population,Mortality Rate
408,2013,PA,Philadelphia County,415.0,1558313.0,0.0002663136353223005
409,2013,PA,Schuylkill County,18.0,146668.0,0.00012272615703493606
410,2013,PA,Somerset County,10.0,76587.0,0.00013057046235000718
411,2013,PA,Susquehanna County,10.0,42397.0,0.00023586574521782203
412,2013,PA,Venango County,10.0,53811.0,0.00018583560981955363
413,2013,PA,Washington County,43.0,208046.0,0.00020668506003479998
414,2013,PA,Westmoreland County,94.0,360663.0,0.00026063111547344753
415,2013,PA,York County,56.0,438932.0,0.00012758240456380487
416,2014,PA,Allegheny County,314.0,1233027.0,0.00025465784609744963
417,2014,PA,Armstrong County,17.0,67579.0,0.0002515574364817473
418,2014,PA,Beaver County,34.0,168977.0,0.00020121081567313896
419,2014,PA,Berks County,58.0,414559.0,0.00013990770915599468
420,2014,PA,Blair County,19.0,125274.0,0.0001516675447419257
421,2014,PA,Bucks County,158.0,625253.0,0.0002526977079678146
422,2014,PA,Butler County,34.0,185778.0,0.00018301413515055604
423,2014,PA,Cambria County,35.0,137537.0,0.0002544769771043428
424,2014,PA,Carbon County,17.0,64255.0,0.00026457085051746944
425,2014,PA,Centre County,12.0,159653.0,7.516300977745486e-05
426,2014,PA,Chester County,68.0,512770.0,0.0001326130623866451
427,2014,PA,Crawford County,17.0,87154.0,0.00019505702549510063
428,2014,PA,Cumberland County,25.0,243280.0,0.00010276224926011181
429,2014,PA,Dauphin County,50.0,272223.0,0.00018367294460791336
430,2014,PA,Delaware County,158.0,562696.0,0.00028079104880788207
431,2014,PA,Erie County,49.0,279423.0,0.0001753613696796613
432,2014,PA,Fayette County,37.0,133999.0,0.0002761214635930119
433,2014,PA,Franklin County,20.0,152607.0,0.00013105558722732247
434,2014,PA,Greene County,11.0,37755.0,0.0002913521387895643
435,2014,PA,Indiana County,11.0,87417.0,0.00012583364791745311
436,2014,PA,Lackawanna County,36.0,212829.0,0.00016914988089029222
437,2014,PA,Lancaster County,63.0,533289.0,0.00011813481995690892
438,2014,PA,Lawrence County,20.0,88644.0,0.00022562158747348947
439,2014,PA,Lebanon County,17.0,136538.0,0.00012450746312381902
440,2014,PA,Lehigh County,55.0,357636.0,0.00015378765001286223
441,2014,PA,Luzerne County,57.0,319150.0,0.00017859940466865112
442,2014,PA,Lycoming County,12.0,116290.0,0.0001031903001117895
443,2014,PA,Mercer County,26.0,114675.0,0.00022672770874209724
444,2014,PA,Monroe County,20.0,167285.0,0.0001195564455868727
445,2014,PA,Montgomery County,147.0,815753.0,0.00018020160514273316
446,2014,PA,Northampton County,26.0,299598.0,8.678295582747549e-05
447,2014,PA,Northumberland County,13.0,93590.0,0.00013890372903087937
448,2014,PA,Philadelphia County,523.0,1565460.0,0.00033408710538755383
449,2014,PA,Schuylkill County,26.0,145393.0,0.00017882566560976112
450,2014,PA,Somerset County,17.0,76146.0,0.00022325532529614162
451,2014,PA,Susquehanna County,16.0,42085.0,0.0003801829630509683
452,2014,PA,Venango County,10.0,53348.0,0.00018744845167578916
453,2014,PA,Washington County,36.0,207963.0,0.00017310771627645303
454,2014,PA,Wayne County,12.0,52064.0,0.00023048555623847572
455,2014,PA,Westmoreland County,96.0,358866.0,0.00026750932102790454
