,Year,State,County,Deaths,Population,Mortality Rate
405,2015,MI,Genesee County,117.0,410461.0,0.0002850453514463006
406,2015,MI,Ingham County,54.0,287096.0,0.00018809039485050296
407,2015,MI,Isabella County,12.0,70767.0,0.00016957056255034126
408,2015,MI,Jackson County,30.0,159264.0,0.00018836648583484027
409,2015,MI,Kalamazoo County,20.0,259676.0,7.701905451408678e-05
410,2015,MI,Kent County,94.0,637164.0,0.00014752873671456643
411,2015,MI,Lenawee County,17.0,98391.0,0.0001727800306938643
412,2015,MI,Livingston County,21.0,187171.0,0.00011219686810456749
413,2015,MI,Macomb County,268.0,864960.0,0.0003098409174990751
414,2015,MI,Marquette County,12.0,67326.0,0.00017823723375813208
415,2015,MI,Monroe County,46.0,149353.0,0.00030799515242412273
416,2015,MI,Montcalm County,14.0,62763.0,0.00022306135780635088
417,2015,MI,Muskegon County,30.0,172447.0,0.00017396649405324534
418,2015,MI,Oakland County,250.0,1244602.0,0.0002008674258919719
419,2015,MI,Ottawa County,24.0,280859.0,8.545213078448617e-05
420,2015,MI,Saginaw County,32.0,193305.0,0.0001655415017718114
421,2015,MI,St. Clair County,30.0,159700.0,0.0001878522229179712
422,2015,MI,Washtenaw County,54.0,362975.0,0.0001487705764859839
423,2015,MI,Wayne County,639.0,1764872.0,0.0003620659175282967
